Timestamp,/DSEvents,/DSLog/BatteryVoltage,/DSLog/CANUtilization,/DSLog/CPUUtilization,/DSLog/PacketLoss,/DSLog/PowerDistributionCurrents,/DSLog/PowerDistributionCurrents/length,/DSLog/Status/Brownout,/DSLog/Status/DSDisabled,/DSLog/Status/DSTeleop,/DSLog/Status/RobotAuto,/DSLog/Status/RobotDisabled,/DSLog/Status/RobotTeleop,/DSLog/Status/Watchdog,/DSLog/TripTimeMS
129.4732518196106,"Warning <secondsSinceReboot> 22.958\r<Description>FRC: Time since robot boot.NT: CONNECTED NT4 client 'limelight-left@1' (from 10.100.79.202:53934) NT: Got a NT4 connection from 10.100.79.202 port 53934 [phoenix] Signal Logger: Available disk space (84 MB) is low; at 50 MB; old hoot logs will be deleted. Use Tuner X to download and delete hoot logs. [AD*] Background planning thread started! [RobotContainer] Pathfinding system ready [LocalADStar] Obstacles: 711 cells (from navgrid with buffer) [LocalADStar] Node size: 0.2m [LocalADStar] Grid: 83x41 nodes [LocalADStar] Successfully loaded navgrid: pathplanner/navgrid.json [phoenix] Signal Logger: Available disk space (84 MB) is low; at 50 MB; old hoot logs will be deleted. Use Tuner X to download and delete hoot logs. [Pathfinding] Initializing default LocalADStar pathfinder [RobotContainer] Initializing pathfinding system... [phoenix] Signal Logger Started (Network: rio) [phoenix] Signal Logger Started (Network: 92863DAF4C32435320202059280217FF) [phoenix] Signal Logger: Available disk space (85 MB) is low; at 50 MB; old hoot logs will be deleted. Use Tuner X to download and delete hoot logs. [phoenix-diagnostics] Server 2026.1.1 (Jan 23 2026; 23:30:20) running on port: 1250 [phoenix] CANbus Network Up: CANivore (can0; 92863DAF4C32435320202059280217FF) [phoenix] CANbus Connected: CANivore (can0; 92863DAF4C32435320202059280217FF) [phoenix] Library initialization is complete. Warning at edu.wpi.first.wpilibj.DataLogManager.logMain(DataLogManager.java:346): DataLogManager: Log storage device has 85 MB of free space remaining! Logs will get deleted below 50 MB of free space. Consider deleting logs off the storage device. DataLogManager: Log storage device has 85 MB of free space remaining! Logs will get deleted below 50 MB of free space. Consider deleting logs off the storage device. DataLog: Logging to '/home/lvuser/logs/FRC_TBD_1f8e294d01c7feb4.wpilog' (81.4 MiB free space) NT: Listening on NT3 port 1735; NT4 port 5810 ********** Robot program starting ********** Info roboRIO: Game data update \"\" received by Robot",0,0.225,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.51067399978638,"NT: CONNECTED NT4 client 'Elastic@2' (from 10.100.79.20:58150) NT: Got a NT4 connection from 10.100.79.20 port 58150",0,0.225,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.55999999999247,"NT: CONNECTED NT4 client 'Elastic@2' (from 10.100.79.20:58150) NT: Got a NT4 connection from 10.100.79.20 port 58150",12.578125,0.225,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.57999999999248,"NT: CONNECTED NT4 client 'Elastic@2' (from 10.100.79.20:58150) NT: Got a NT4 connection from 10.100.79.20 port 58150",12.55859375,0.225,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.6399999999925,"NT: CONNECTED NT4 client 'Elastic@2' (from 10.100.79.20:58150) NT: Got a NT4 connection from 10.100.79.20 port 58150",12.5625,0.225,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.65999999999252,"NT: CONNECTED NT4 client 'Elastic@2' (from 10.100.79.20:58150) NT: Got a NT4 connection from 10.100.79.20 port 58150",12.55859375,0.225,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.67999999999253,"NT: CONNECTED NT4 client 'Elastic@2' (from 10.100.79.20:58150) NT: Got a NT4 connection from 10.100.79.20 port 58150",12.5625,0.225,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.69999999999254,"NT: CONNECTED NT4 client 'Elastic@2' (from 10.100.79.20:58150) NT: Got a NT4 connection from 10.100.79.20 port 58150",12.578125,0.165,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.71999999999255,"NT: CONNECTED NT4 client 'Elastic@2' (from 10.100.79.20:58150) NT: Got a NT4 connection from 10.100.79.20 port 58150",12.5703125,0.165,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.73999999999256,"NT: CONNECTED NT4 client 'Elastic@2' (from 10.100.79.20:58150) NT: Got a NT4 connection from 10.100.79.20 port 58150",12.55859375,0.165,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.75338459014893,"Info FRC_roboRIO2_2026_v1.226.026.1.0.0 (Phoenix 6)",12.55859375,0.165,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.75999999999257,"Info FRC_roboRIO2_2026_v1.226.026.1.0.0 (Phoenix 6)",12.5625,0.165,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.77999999999258,"Info FRC_roboRIO2_2026_v1.226.026.1.0.0 (Phoenix 6)",12.55859375,0.165,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.7999999999926,"Info FRC_roboRIO2_2026_v1.226.026.1.0.0 (Phoenix 6)",12.55078125,0.165,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.8199999999926,"Info FRC_roboRIO2_2026_v1.226.026.1.0.0 (Phoenix 6)",12.55859375,0.165,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.8399999999926,"Info FRC_roboRIO2_2026_v1.226.026.1.0.0 (Phoenix 6)",12.5625,0.165,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.89999999999264,"Info FRC_roboRIO2_2026_v1.226.026.1.0.0 (Phoenix 6)",12.55078125,0.20500000000000002,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.91999999999265,"Info FRC_roboRIO2_2026_v1.226.026.1.0.0 (Phoenix 6)",12.55859375,0.20500000000000002,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.93999999999266,"Info FRC_roboRIO2_2026_v1.226.026.1.0.0 (Phoenix 6)",12.5625,0.20500000000000002,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.95151329040527,"NT: Got a NT4 connection from 10.100.79.20 port 52303",12.5625,0.20500000000000002,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.95999999999268,"NT: Got a NT4 connection from 10.100.79.20 port 52303",12.55859375,0.20500000000000002,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.97999999999269,"NT: Got a NT4 connection from 10.100.79.20 port 52303",12.55078125,0.20500000000000002,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,1.5
129.9999999999927,"NT: Got a NT4 connection from 10.100.79.20 port 52303",12.5703125,0.20500000000000002,0.8300000000000001,0.4,[],0,false,true,false,false,false,false,false,5
130.0199999999927,"NT: Got a NT4 connection from 10.100.79.20 port 52303",12.55078125,0.20500000000000002,0.8300000000000001,0.4,[],0,false,true,false,false,false,false,false,5
130.03999999999272,"NT: Got a NT4 connection from 10.100.79.20 port 52303",12.5625,0.20500000000000002,0.8300000000000001,0.4,[],0,false,true,false,false,false,false,false,5
130.07999999999274,"NT: Got a NT4 connection from 10.100.79.20 port 52303",12.5703125,0.20500000000000002,0.8300000000000001,0.4,[],0,false,true,false,false,false,false,false,5
130.09999999999275,"NT: Got a NT4 connection from 10.100.79.20 port 52303",12.58203125,0.21,0.8300000000000001,0.4,[],0,false,true,false,false,false,false,false,5
130.11999999999276,"NT: Got a NT4 connection from 10.100.79.20 port 52303",12.55859375,0.21,0.8300000000000001,0.4,[],0,false,true,false,false,false,false,false,5
130.13999999999277,"NT: Got a NT4 connection from 10.100.79.20 port 52303",12.5625,0.21,0.8300000000000001,0.4,[],0,false,true,false,false,false,false,false,5
130.1526918411255,"NT: CONNECTED NT4 client 'limelight-right@3' (from 10.100.79.201:53550) NT: Got a NT4 connection from 10.100.79.201 port 53550 NT: CONNECTED RTT client (from 10.100.79.20:52303)",12.5625,0.21,0.8300000000000001,0.4,[],0,false,true,false,false,false,false,false,5
130.33999999999287,"NT: CONNECTED NT4 client 'limelight-right@3' (from 10.100.79.201:53550) NT: Got a NT4 connection from 10.100.79.201 port 53550 NT: CONNECTED RTT client (from 10.100.79.20:52303)",12.5625,0.21,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,5
130.3535304069519,"FRC: The Driver Station has lost communication with the robot.",12.5625,0.21,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,5
133.5582413673401,"Info roboRIO: Disk Free 246 MB; Memory Free 241 MB. DS Laptop: CPU 2% Batt 29%.",12.5625,0.21,0.8300000000000001,0,[],0,false,true,false,false,false,false,false,5
